record_date,pay_date,distribution_per_share,taxable_per_share,source,source_url
2018-04-30,2018-05-03,460,460,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20190704/2ETF01_20190630.pdf
2018-07-31,2018-08-02,65,65,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20190704/2ETF01_20190630.pdf
2018-10-31,2018-11-02,80,80,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20190704/2ETF01_20190630.pdf
2019-04-30,2019-05-03,465,465,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20200410/2ETF01_20200331.pdf
2019-07-31,2019-08-02,60,60,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20200410/2ETF01_20200331.pdf
2019-10-31,2019-11-04,70,70,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20200410/2ETF01_20200331.pdf
2020-01-31,2020-02-04,50,50,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20200519/2ETF01_20200430.pdf
2020-04-29,2020-05-06,425,425,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20200519/2ETF01_20200430.pdf
2020-07-31,2020-08-04,55,55,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF01_20210430.pdf
2020-10-30,2020-11-03,50,50,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF01_20210430.pdf
2021-01-29,2021-02-02,50,50,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF01_20210430.pdf
2021-04-30,2021-05-04,670,670,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20210525/2ETF01_20210430.pdf
2021-07-30,2021-08-03,55,55,official_pdf_amount_pay_date_inferred,https://m.samsungfund.com/sheet/20220407/2ETF01_20220331.pdf
2021-10-29,2021-11-02,85,85,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2022-01-28,2022-02-04,60,60,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2022-04-29,2022-05-03,500,500,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2022-07-29,2022-08-02,70,70,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2022-10-31,2022-11-02,105,105,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2023-01-31,2023-02-02,75,75,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2023-04-28,2023-05-03,445,445,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2023-07-31,2023-08-02,75,75,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2023-10-31,2023-11-02,100,100,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2024-01-31,2024-02-02,95,95,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2024-04-30,2024-05-03,440,440,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2024-07-31,2024-08-02,150,150,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2024-10-31,2024-11-04,120,120,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2025-01-31,2025-02-04,110,110,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2025-04-30,2025-05-07,429,429,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2025-07-31,2025-08-04,176,145,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2025-10-31,2025-11-04,140,122,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2026-01-30,2026-02-03,80,80,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2026-04-30,2026-05-06,446,446,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
2026-07-31,2026-08-04,183,168,official_api,https://m.samsungfund.com/api/v1/kodex/divid-info.do?id=2ETF01
