일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"2026/09/14","105410","4090","-3.74","105660.10","105745","107135","104950","25008928","2648867428932","24312816500000","24418048340212","230650000","코스피 200","1050.83","39.39","-3.61"
"2026/09/11","109500","2365","-2.11","109615.66","107720","110210","107565","26031068","2831580367985","25283550000000","25282852005865","230900000","코스피 200","1090.22","21.91","-1.97"
"2026/09/10","111865","235","-0.21","111808.68","111815","112405","109350","24523748","2722508003570","25952680000000","25816624703385","232000000","코스피 200","1112.13","2.48","-0.22"
"2026/09/09","112100","1765","1.60","112064.88","110640","113260","110550","24388329","2730874974116","26057645000000","25999051404127","232450000","코스피 200","1114.61","14.53","1.32"
"2026/09/08","110335","485","-0.44","110604.20","111860","114260","110320","28659671","3225731629722","25619787000000","25709947314285","232200000","코스피 200","1100.08","5.11","-0.46"
"2026/09/07","110820","5100","4.82","111120.62","109500","110875","108825","18578602","2042485881924","25682535000000","25802206853758","231750000","코스피 200","1105.19","53.67","5.10"
"2026/09/04","105720","2110","2.04","105733.60","105005","106785","104705","20998563","2216831099306","24558756000000","24503761126455","232300000","코스피 200","1051.52","18.70","1.81"
"2026/09/03","103610","110","0.11","103846.89","104920","105550","100000","26133074","2718765446155","24078964000000","24123632667460","232400000","코스피 200","1032.82","1.29","0.13"
"2026/09/02","103500","4385","-4.06","103712.16","104525","105675","103485","21280421","2221910695888","24146550000000","24102706636636","233300000","코스피 200","1031.53","43.77","-4.07"
"2026/09/01","107885","270","0.25","108117.20","106630","108415","106090","21997851","2363659740532","25061685500000","25223742979869","232300000","코스피 200","1075.30","3.45","0.32"
"2026/08/31","107615","435","0.41","107762.92","104455","107615","103015","20845744","2198757568854","25025868250000","25033326033361","232550000","코스피 200","1071.85","6.15","0.58"
"2026/08/28","107180","1955","-1.79","107156.45","108045","109270","107050","21388836","2307097240450","25053325000000","24919232442940","233750000","코스피 200","1065.70","22.91","-2.10"
"2026/08/27","109135","1425","1.32","109431.83","110900","110910","108195","18603034","2036158226301","25488479250000","25579690038273","233550000","코스피 200","1088.61","17.45","1.63"
"2026/08/26","107710","915","0.86","107680.57","106350","109120","105850","20485425","2206975429531","24961792500000","25148796367986","231750000","코스피 200","1071.16","10.48","0.99"
"2026/08/25","106795","800","0.75","106628.26","103035","106795","101105","18853969","1961506569973","24813818250000","24711100353729","232350000","코스피 200","1060.68","6.67","0.63"
"2026/08/24","105995","3985","-3.62","105942.72","109495","109500","105290","16347489","1747621639772","24945923250000","24615790752113","235350000","코스피 200","1054.01","42.24","-3.85"
"2026/08/21","109980","1790","1.65","110190.81","106835","110860","106460","33240038","3638952836947","25784811000000","25933407658938","234450000","코스피 200","1096.25","15.27","1.41"
"2026/08/20","108190","6430","6.32","108657.77","104975","109380","103660","33024560","3563604012556","25440878500000","25474813891225","235150000","코스피 200","1080.98","68.37","6.75"
"2026/08/19","101760","6790","-6.26","101776.61","102635","104040","100655","20456444","2089198554331","23989920000000","23932769655834","235750000","코스피 200","1012.61","69.39","-6.41"
"2026/08/18","108550","1510","-1.37","108739.54","113010","114710","107220","20274228","2241485682323","25634082500000","25635345546543","236150000","코스피 200","1082.00","16.18","-1.47"
