as_of_date,ticker,name,weight_pct
2018-03-30,005930,삼성전자,25.93
2018-03-30,000660,SK하이닉스,5.02
2018-03-30,068270,셀트리온,3.39
2018-03-30,005490,POSCO,2.6
2018-03-30,105560,KB금융,2.44
2018-03-30,005380,현대차,2.32
2018-03-30,035420,NAVER,2.2
2018-03-30,055550,신한지주,2.05
2018-03-30,051910,LG화학,1.97
2018-03-30,012330,현대모비스,1.88
2018-03-30,096770,SK이노베이션,1.46
2018-03-30,086790,하나금융지주,1.37
2018-03-30,028260,삼성물산,1.33
2018-03-30,066570,LG전자,1.31
2018-03-30,017670,SK텔레콤,1.3
2018-03-30,033780,KT&G,1.26
2018-03-30,051900,LG생활건강,1.22
2018-03-30,015760,한국전력,1.16
2018-03-30,034730,SK,1.14
2018-03-30,006400,삼성SDI,1.1
2018-03-30,032830,삼성생명,1.08
2018-03-30,090430,아모레퍼시픽,1.06
2018-03-30,251270,넷마블게임즈,1.04
2018-03-30,000810,삼성화재,0.94
2018-03-30,018260,삼성에스디에스,0.93
2018-03-30,000270,기아차,0.89
2018-03-30,003550,LG,0.87
2018-03-30,036570,엔씨소프트,0.86
2018-03-30,000030,우리은행,0.8
2018-06-29,005930,삼성전자,26.15
2018-06-29,000660,SK하이닉스,5.51
2018-06-29,068270,셀트리온,3.38
2018-06-29,005490,POSCO,2.61
2018-06-29,035420,NAVER,2.22
2018-06-29,105560,KB금융,2.19
2018-06-29,005380,현대차,2.13
2018-06-29,055550,신한지주,2.06
2018-06-29,051910,LG화학,1.8
2018-06-29,012330,현대모비스,1.68
2018-06-29,051900,LG생활건강,1.54
2018-06-29,096770,SK이노베이션,1.47
2018-06-29,033780,KT&G,1.4
2018-06-29,017670,SK텔레콤,1.39
2018-06-29,086790,하나금융지주,1.36
2018-06-29,006400,삼성SDI,1.34
2018-06-29,028260,삼성물산,1.2
2018-06-29,015760,한국전력,1.18
2018-06-29,090430,아모레퍼시픽,1.17
2018-06-29,251270,넷마블,1.15
2018-06-29,034730,SK,1.04
2018-06-29,066570,LG전자,1.03
2018-06-29,009150,삼성전기,0.98
2018-06-29,000810,삼성화재,0.97
2018-06-29,032830,삼성생명,0.97
2018-06-29,000030,우리은행,0.94
2018-06-29,000270,기아차,0.91
2018-06-29,018260,삼성에스디에스,0.79
2018-06-29,036570,엔씨소프트,0.78
2018-09-28,005930,삼성전자,26.13
2018-09-28,000660,SK하이닉스,4.87
2018-09-28,068270,셀트리온,3.36
2018-09-28,005490,POSCO,2.44
2018-09-28,105560,KB금융,2.21
2018-09-28,005380,현대차,2.13
2018-09-28,055550,신한지주,2.1
2018-09-28,035420,NAVER,2.09
2018-09-28,051910,LG화학,1.97
2018-09-28,012330,현대모비스,1.75
2018-09-28,017670,SK텔레콤,1.63
2018-09-28,006400,삼성SDI,1.56
2018-09-28,096770,SK이노베이션,1.5
2018-09-28,033780,KT&G,1.36
2018-09-28,086790,하나금융지주,1.36
2018-09-28,051900,LG생활건강,1.36
2018-09-28,028260,삼성물산,1.32
2018-09-28,034730,SK,1.13
2018-09-28,015760,한국전력,1.05
2018-09-28,000270,기아차,1.03
2018-09-28,000810,삼성화재,0.98
2018-09-28,000030,우리은행,0.97
2018-09-28,032830,삼성생명,0.93
2018-09-28,036570,엔씨소프트,0.93
2018-09-28,009150,삼성전기,0.92
2018-09-28,090430,아모레퍼시픽,0.92
2018-09-28,207940,삼성바이오로직스,0.91
2018-09-28,018260,삼성에스디에스,0.89
2018-09-28,066570,LG전자,0.87
2018-12-28,005930,삼성전자,24.23
2018-12-28,000660,SK하이닉스,4.64
2018-12-28,068270,셀트리온,2.96
2018-12-28,005380,현대차,2.24
2018-12-28,005490,POSCO,2.23
2018-12-28,105560,KB금융,2.17
2018-12-28,051910,LG화학,2.14
2018-12-28,055550,신한지주,2.14
2018-12-28,035420,NAVER,2.09
2018-12-28,017670,SK텔레콤,1.82
2018-12-28,012330,현대모비스,1.67
2018-12-28,033780,KT&G,1.54
2018-12-28,006400,삼성SDI,1.53
2018-12-28,028260,삼성물산,1.42
2018-12-28,096770,SK이노베이션,1.38
2018-12-28,015760,한국전력,1.37
2018-12-28,051900,LG생활건강,1.33
2018-12-28,086790,하나금융지주,1.29
2018-12-28,036570,엔씨소프트,1.19
2018-12-28,034730,SK,1.19
2018-12-28,000270,기아차,1.12
2018-12-28,000810,삼성화재,1.12
2018-12-28,000030,우리은행,1.06
2018-12-28,251270,넷마블,0.99
