as_of_date,ticker,name,weight_pct
2018-03-30,005930,삼성전자,4.55
2018-03-30,031430,신세계인터내셔날,4.38
2018-03-30,081660,휠라코리아,3.95
2018-03-30,057050,현대홈쇼핑,3.89
2018-03-30,192440,슈피겐코리아,3.81
2018-03-30,000660,SK하이닉스,3.72
2018-03-30,051500,CJ프레시웨이,3.61
2018-03-30,066570,LG전자,3.55
2018-03-30,020000,한섬,3.54
2018-03-30,086450,동국제약,3.4
2018-03-30,003220,대원제약,3.31
2018-03-30,030520,한글과컴퓨터,3.3
2018-03-30,108790,인터파크,3.26
2018-03-30,049770,동원F&B,3.17
2018-03-30,002790,아모레G,3.15
2018-03-30,028150,GS홈쇼핑,3.08
2018-03-30,035760,CJ오쇼핑,3.03
2018-03-30,032640,LG유플러스,3
2018-03-30,003850,보령제약,2.9
2018-03-30,090470,제이스텍,2.66
2018-03-30,095720,웅진씽크빅,2.63
2018-03-30,079430,현대리바트,2.59
2018-03-30,084110,휴온스글로벌,2.56
2018-03-30,093050,LF,2.46
2018-03-30,078520,에이블씨엔씨,2.39
2018-03-30,138250,엔에스쇼핑,2.32
2018-03-30,003090,대웅,2.08
2018-03-30,078150,HB테크놀러지,2.06
2018-03-30,031980,피에스케이,1.78
2018-06-29,057050,현대홈쇼핑,6.72
2018-06-29,020000,한섬,5.17
2018-06-29,031430,신세계인터내셔날,4.58
2018-06-29,035760,CJ오쇼핑,4.45
2018-06-29,081660,휠라코리아,4.22
2018-06-29,006840,AK홀딩스,4.14
2018-06-29,028150,GS홈쇼핑,4.04
2018-06-29,005930,삼성전자,3.66
2018-06-29,009290,광동제약,3.42
2018-06-29,000660,SK하이닉스,3.27
2018-06-29,093050,LF,3.09
2018-06-29,079430,현대리바트,3.09
2018-06-29,007700,F&F,3.07
2018-06-29,002790,아모레G,3.02
2018-06-29,049770,동원F&B,2.98
2018-06-29,066570,LG전자,2.8
2018-06-29,030520,한글과컴퓨터,2.77
2018-06-29,033270,유나이티드제약,2.7
2018-06-29,031980,피에스케이,2.65
2018-06-29,249420,일동제약,2.39
2018-06-29,078520,에이블씨엔씨,2.31
2018-06-29,086450,동국제약,1.94
2018-06-29,095720,웅진씽크빅,1.82
2018-06-29,108790,인터파크,1.69
2018-06-29,027390,한화갤러리아타임월드,1.53
2018-06-29,084110,휴온스글로벌,1.51
2018-06-29,003090,대웅,1.49
2018-06-29,036930,주성엔지니어링,1.48
2018-06-29,003850,보령제약,1.47
2018-09-28,057050,현대홈쇼핑,6.56
2018-09-28,028150,GS홈쇼핑,5.82
2018-09-28,005930,삼성전자,5.15
2018-09-28,079430,현대리바트,4.21
2018-09-28,249420,일동제약,4.18
2018-09-28,003850,보령제약,4.07
2018-09-28,093050,LF,3.44
2018-09-28,081660,휠라코리아,3.36
2018-09-28,006840,AK홀딩스,3.32
2018-09-28,002790,아모레G,3.25
2018-09-28,079160,CJ CGV,3.07
2018-09-28,003090,대웅,3.03
2018-09-28,000660,SK하이닉스,3.03
2018-09-28,066570,LG전자,2.96
2018-09-28,030520,한글과컴퓨터,2.77
2018-09-28,020000,한섬,2.73
2018-09-28,084110,휴온스글로벌,2.69
2018-09-28,049770,동원F&B,2.68
2018-09-28,078520,에이블씨엔씨,2.68
2018-09-28,009290,광동제약,2.63
2018-09-28,033270,유나이티드제약,2.52
2018-09-28,071840,롯데하이마트,2.4
2018-09-28,043150,바텍,2.15
2018-09-28,185750,종근당,1.92
2018-09-28,031980,피에스케이,1.78
2018-09-28,004990,롯데지주,1.69
2018-09-28,004870,티웨이홀딩스,1.62
2018-09-28,005180,빙그레,1.55
2018-09-28,035760,CJ ENM,1.22
2018-12-28,057050,현대홈쇼핑,5.08
2018-12-28,006840,AK홀딩스,4.61
2018-12-28,005930,삼성전자,4.59
2018-12-28,093050,LF,4.43
2018-12-28,003850,보령제약,4.26
2018-12-28,005180,빙그레,4.01
2018-12-28,001800,오리온홀딩스,3.97
2018-12-28,028150,GS홈쇼핑,3.65
2018-12-28,030520,한글과컴퓨터,3.54
2018-12-28,249420,일동제약,3.44
2018-12-28,079430,현대리바트,3.35
2018-12-28,000660,SK하이닉스,3.26
2018-12-28,020000,한섬,3.16
2018-12-28,002790,아모레G,3.03
2018-12-28,084110,휴온스글로벌,2.92
2018-12-28,049770,동원F&B,2.83
2018-12-28,237880,클리오,2.74
2018-12-28,033270,유나이티드제약,2.61
2018-12-28,084370,유진테크,2.56
2018-12-28,066570,LG전자,2.52
2018-12-28,267980,매일유업,2.39
2018-12-28,031980,피에스케이,2.35
2018-12-28,003220,대원제약,2.33
2018-12-28,009450,경동나비엔,2.18
2018-12-28,145020,휴젤,2.16
2018-12-28,079160,CJ CGV,2.12
2018-12-28,078520,에이블씨엔씨,2.09
2018-12-28,081660,휠라코리아,1.98
2018-12-28,033290,코웰패션,1.52
2019-03-29,057050,현대홈쇼핑,5.68
2019-03-29,005930,삼성전자,5.01
2019-03-29,093050,LF,4.4
2019-03-29,020000,한섬,4.28
2019-03-29,003850,보령제약,4.02
2019-03-29,032640,LG유플러스,3.77
2019-03-29,028150,GS홈쇼핑,3.76
2019-03-29,035760,CJ ENM,3.74
2019-03-29,005180,빙그레,3.6
2019-03-29,000660,SK하이닉스,3.38
2019-03-29,051500,CJ프레시웨이,3.35
2019-03-29,001800,오리온홀딩스,2.95
2019-03-29,084370,유진테크,2.88
2019-03-29,215200,메가스터디교육,2.86
2019-03-29,004990,롯데지주,2.85
2019-03-29,095720,웅진씽크빅,2.74
2019-03-29,002790,아모레G,2.69
2019-03-29,066570,LG전자,2.64
2019-03-29,084110,휴온스글로벌,2.6
2019-03-29,030520,한글과컴퓨터,2.58
2019-03-29,006840,AK홀딩스,2.51
2019-03-29,033270,유나이티드제약,2.4
2019-03-29,237880,클리오,2.35
2019-03-29,049770,동원F&B,2.29
2019-03-29,086450,동국제약,2.08
2019-03-29,079430,현대리바트,2.05
2019-03-29,217480,에스디생명공학,1.89
2019-03-29,078520,에이블씨엔씨,1.74
2019-03-29,267980,매일유업,1.64
2019-06-28,028150,GS홈쇼핑,5.58
2019-06-28,049770,동원F&B,5.36
2019-06-28,057050,현대홈쇼핑,5.33
2019-06-28,093050,LF,4.5
2019-06-28,036630,세종텔레콤,4.43
2019-06-28,249420,일동제약,3.85
2019-06-28,066570,LG전자,3.68
2019-06-28,033270,유나이티드제약,3.67
2019-06-28,267980,매일유업,3.46
2019-06-28,005930,삼성전자,3.45
2019-06-28,078340,컴투스,3.43
2019-06-28,003090,대웅,3.35
2019-06-28,035760,CJ ENM,3.34
2019-06-28,079160,CJ CGV,3.23
2019-06-28,051500,CJ프레시웨이,3.18
2019-06-28,000660,SK하이닉스,2.98
2019-06-28,037560,CJ헬로,2.95
2019-06-28,036930,주성엔지니어링,2.67
2019-06-28,020000,한섬,2.57
2019-06-28,002790,아모레G,2.43
2019-06-28,035600,KG이니시스,2.19
2019-06-28,063570,한국전자금융,2.04
2019-06-28,078520,에이블씨엔씨,1.93
2019-06-28,108320,실리콘웍스,1.92
2019-06-28,281820,케이씨텍,1.9
2019-06-28,095720,웅진씽크빅,1.84
2019-06-28,217480,에스디생명공학,1.8
2019-06-28,084370,유진테크,1.44
2019-06-28,043150,바텍,1.27
2019-09-30,028150,GS홈쇼핑,4.99
2019-09-30,057050,현대홈쇼핑,4.82
2019-09-30,032640,LG유플러스,4.16
2019-09-30,035760,CJ ENM,3.96
2019-09-30,000660,SK하이닉스,3.59
2019-09-30,036630,세종텔레콤,3.52
2019-09-30,079160,CJ CGV,3.48
2019-09-30,078340,컴투스,3.47
2019-09-30,093050,LF,3.23
2019-09-30,002790,아모레G,3.2
2019-09-30,034310,NICE,3.16
2019-09-30,049770,동원F&B,2.89
2019-09-30,020000,한섬,2.89
2019-09-30,267980,매일유업,2.87
2019-09-30,095720,웅진씽크빅,2.66
2019-09-30,063570,한국전자금융,2.64
2019-09-30,066570,LG전자,2.49
2019-09-30,035600,KG이니시스,2.47
2019-09-30,036930,주성엔지니어링,2.41
2019-09-30,192440,슈피겐코리아,2.3
2019-09-30,078520,에이블씨엔씨,2.23
2019-09-30,161890,한국콜마,2.2
2019-09-30,005500,삼진제약,1.87
2019-09-30,091810,티웨이항공,1.86
2019-09-30,105630,한세실업,1.81
2019-09-30,009450,경동나비엔,1.76
2019-09-30,017810,풀무원,1.73
2019-09-30,051500,CJ프레시웨이,1.72
2019-09-30,003090,대웅,1.67
2019-12-30,185750,종근당,3.82
2019-12-30,032640,LG유플러스,3.65
2019-12-30,028150,GS홈쇼핑,3.55
2019-12-30,057050,현대홈쇼핑,3.51
2019-12-30,293480,하나제약,3.4
