ticker,record_date,pay_date,distribution_per_share,taxable_per_share,source_sheet
069500,2017-04-28,2017-05-04,475,475,2ETF01_20171231.pdf
069500,2017-07-31,2017-08-02,100,100,2ETF01_20171231.pdf
069500,2017-10-31,2017-11-02,30,30,2ETF01_20171231.pdf
069500,2018-04-30,2018-05-03,460,460,2ETF01_20191231.pdf
069500,2018-07-31,2018-08-02,65,65,2ETF01_20191231.pdf
069500,2018-10-31,2018-11-02,80,80,2ETF01_20191231.pdf
069500,2019-04-30,2019-05-03,465,465,2ETF01_20191231.pdf
069500,2019-07-31,2019-08-02,60,60,2ETF01_20191231.pdf
069500,2019-10-31,2019-11-04,70,70,2ETF01_20191231.pdf
091160,2018-04-30,2018-05-03,115,115,2ETF07_20191231.pdf
091160,2019-04-30,2019-05-03,280,280,2ETF07_20191231.pdf
091170,2018-04-30,2018-05-03,265,265,2ETF08_20191231.pdf
091170,2019-04-30,2019-05-03,300,300,2ETF08_20191231.pdf
091180,2018-04-30,2018-05-03,245,245,2ETF06_20191231.pdf
091180,2019-04-30,2019-05-03,250,250,2ETF06_20191231.pdf
102960,2019-04-30,2019-05-03,50,50,2ETF16_20191231.pdf
102970,2018-04-30,2018-05-03,145,145,2ETF15_20191231.pdf
102970,2019-04-30,2019-05-03,200,200,2ETF15_20191231.pdf
117460,2018-04-30,2018-05-03,270,270,2ETF21_20191231.pdf
117460,2019-04-30,2019-05-03,250,250,2ETF21_20191231.pdf
117680,2018-04-30,2018-05-03,150,150,2ETF23_20191231.pdf
117680,2019-04-30,2019-05-03,150,150,2ETF23_20191231.pdf
117700,2018-04-30,2018-05-03,25,25,2ETF22_20191231.pdf
117700,2019-04-30,2019-05-03,40,40,2ETF22_20191231.pdf
140700,2018-04-30,2018-05-03,230,230,2ETF31_20191231.pdf
140700,2019-04-30,2019-05-03,260,260,2ETF31_20191231.pdf
140710,2018-04-30,2018-05-03,10,10,2ETF30_20191231.pdf
140710,2019-04-30,2019-05-03,20,20,2ETF30_20191231.pdf
266360,2019-04-30,2019-05-03,40,40,2ETF81_20191231.pdf
266370,2018-04-30,2018-05-03,80,80,2ETF82_20191231.pdf
266370,2019-04-30,2019-05-03,120,120,2ETF82_20191231.pdf
266390,2018-04-30,2018-05-03,110,110,2ETF79_20191231.pdf
266390,2019-04-30,2019-05-03,120,120,2ETF79_20191231.pdf
266410,2018-04-30,2018-05-03,110,110,2ETF80_20191231.pdf
266410,2019-04-30,2019-05-03,115,115,2ETF80_20191231.pdf
266420,2019-04-30,2019-05-03,20,20,2ETF78_20191231.pdf
