as_of_date,ticker,name,weight_pct
2018-03-30,005930,삼성전자,28.97
2018-03-30,000660,SK하이닉스,7.95
2018-03-30,005380,현대차,4.12
2018-03-30,005490,POSCO,3.65
2018-03-30,105560,KB금융,2.64
2018-03-30,015760,한국전력,2.63
2018-03-30,055550,신한지주,2.57
2018-03-30,012330,현대모비스,2.4
2018-03-30,000270,기아차,1.95
2018-03-30,086790,하나금융지주,1.71
2018-03-30,096770,SK이노베이션,1.68
2018-03-30,267250,현대로보틱스,1.47
2018-03-30,000030,우리은행,1.3
2018-03-30,017670,SK텔레콤,1.26
2018-03-30,034220,LG디스플레이,1.14
2018-03-30,051910,LG화학,1.13
2018-03-30,066570,LG전자,1.09
2018-03-30,030200,KT,0.99
2018-03-30,006400,삼성SDI,0.96
2018-03-30,011170,롯데케미칼,0.96
2018-03-30,032830,삼성생명,0.9
2018-03-30,009540,현대중공업,0.88
2018-03-30,004020,현대제철,0.86
2018-03-30,003550,LG,0.81
2018-03-30,033780,KT&G,0.77
2018-03-30,000810,삼성화재,0.76
2018-03-30,034730,SK,0.75
2018-03-30,024110,기업은행,0.73
2018-03-30,035420,NAVER,0.65
2018-06-29,005930,삼성전자,25.65
2018-06-29,000660,SK하이닉스,7.67
2018-06-29,005380,현대차,4.61
2018-06-29,005490,POSCO,3.25
2018-06-29,105560,KB금융,2.85
2018-06-29,055550,신한지주,2.81
2018-06-29,015760,한국전력,2.7
2018-06-29,012330,현대모비스,2.57
2018-06-29,086790,하나금융지주,2.08
2018-06-29,000270,기아차,2.08
2018-06-29,096770,SK이노베이션,1.84
2018-06-29,017670,SK텔레콤,1.48
2018-06-29,000030,우리은행,1.43
2018-06-29,051910,LG화학,1.15
2018-06-29,066570,LG전자,1.12
2018-06-29,033780,KT&G,1.06
2018-06-29,030200,KT,1.05
2018-06-29,032830,삼성생명,1.05
2018-06-29,004020,현대제철,0.97
2018-06-29,003550,LG,0.95
2018-06-29,011170,롯데케미칼,0.9
2018-06-29,000810,삼성화재,0.89
2018-06-29,006400,삼성SDI,0.88
2018-06-29,024110,기업은행,0.86
2018-06-29,034220,LG디스플레이,0.8
2018-06-29,034730,SK,0.76
