signal_date,execution_date,risk_on,reason
2018-07-02,2018-07-03,false,krx_snapshot
2018-10-01,2018-10-02,false,krx_snapshot
2019-01-02,2019-01-03,false,krx_snapshot
2019-01-31,2019-02-01,true,regime_change
2019-04-01,2019-04-02,true,krx_snapshot
2019-05-09,2019-05-10,false,regime_change
2019-07-01,2019-07-02,false,krx_snapshot
2019-09-30,2019-10-01,true,regime_change
2019-10-01,2019-10-02,true,krx_snapshot
2020-01-02,2020-01-03,true,krx_snapshot
2020-02-24,2020-02-25,false,regime_change
2020-04-01,2020-04-02,false,krx_snapshot
2020-06-30,2020-07-01,true,regime_change
2020-07-01,2020-07-02,true,krx_snapshot
2020-10-05,2020-10-06,true,krx_snapshot
2021-01-04,2021-01-05,true,krx_snapshot
2021-04-01,2021-04-02,true,krx_snapshot
2021-07-01,2021-07-02,true,krx_snapshot
2021-08-13,2021-08-17,false,regime_change
2021-10-01,2021-10-05,false,krx_snapshot
2022-01-03,2022-01-04,false,krx_snapshot
2022-04-01,2022-04-04,false,krx_snapshot
2022-07-01,2022-07-04,false,krx_snapshot
2022-10-04,2022-10-05,false,krx_snapshot
2022-11-30,2022-12-01,true,regime_change
