date,0
2020-06-26,defensive
2020-06-29,defensive
2020-06-30,defensive
2020-07-01,defensive
2020-07-02,defensive
2020-07-03,defensive
2020-07-06,defensive
2020-07-07,defensive
2020-07-08,defensive
2020-07-09,defensive
2020-07-10,defensive
2020-07-13,defensive
2020-07-14,defensive
2020-07-15,defensive
2020-07-16,defensive
2020-07-17,defensive
2020-07-20,defensive
2020-07-21,defensive
2020-07-22,defensive
2020-07-23,defensive
2020-07-24,defensive
2020-07-27,defensive
2020-07-28,defensive
2020-07-29,defensive
2020-07-30,defensive
2020-07-31,defensive
2020-08-03,defensive
2020-08-04,defensive
2020-08-05,defensive
2020-08-06,defensive
2020-08-07,defensive
2020-08-10,defensive
2020-08-11,defensive
2020-08-12,defensive
2020-08-13,defensive
2020-08-14,defensive
2020-08-18,defensive
2020-08-19,defensive
2020-08-20,defensive
2020-08-21,defensive
2020-08-24,defensive
2020-08-25,defensive
2020-08-26,defensive
2020-08-27,defensive
2020-08-28,defensive
2020-08-31,defensive
2020-09-01,defensive
2020-09-02,defensive
2020-09-03,defensive
2020-09-04,defensive
2020-09-07,defensive
2020-09-08,defensive
2020-09-09,defensive
2020-09-10,defensive
2020-09-11,defensive
2020-09-14,defensive
2020-09-15,defensive
2020-09-16,defensive
2020-09-17,defensive
2020-09-18,defensive
2020-09-21,growth
2020-09-22,growth
2020-09-23,growth
2020-09-24,growth
2020-09-25,growth
2020-09-28,growth
2020-09-29,growth
2020-10-05,growth
2020-10-06,growth
2020-10-07,growth
2020-10-08,growth
2020-10-12,growth
2020-10-13,growth
2020-10-14,growth
2020-10-15,growth
2020-10-16,growth
2020-10-19,growth
2020-10-20,growth
2020-10-21,growth
2020-10-22,growth
2020-10-23,growth
2020-10-26,growth
2020-10-27,growth
2020-10-28,growth
2020-10-29,growth
2020-10-30,growth
2020-11-02,growth
2020-11-03,growth
2020-11-04,growth
2020-11-05,growth
2020-11-06,growth
2020-11-09,growth
2020-11-10,growth
2020-11-11,growth
2020-11-12,growth
2020-11-13,growth
2020-11-16,growth
2020-11-17,growth
2020-11-18,growth
2020-11-19,growth
2020-11-20,growth
2020-11-23,growth
2020-11-24,growth
2020-11-25,growth
2020-11-26,growth
2020-11-27,growth
2020-11-30,growth
2020-12-01,growth
2020-12-02,growth
2020-12-03,growth
2020-12-04,growth
2020-12-07,growth
2020-12-08,growth
2020-12-09,growth
2020-12-10,growth
2020-12-11,growth
2020-12-14,growth
2020-12-15,growth
2020-12-16,growth
2020-12-17,growth
2020-12-18,growth
2020-12-21,growth
2020-12-22,growth
2020-12-23,growth
2020-12-24,growth
2020-12-28,defensive
2020-12-29,growth
2020-12-30,growth
2021-01-04,growth
2021-01-05,growth
2021-01-06,growth
2021-01-07,growth
2021-01-08,growth
2021-01-11,growth
2021-01-12,growth
2021-01-13,growth
2021-01-14,growth
2021-01-15,growth
