date,equity
2020-06-26,991972.0
2020-06-29,996528.0
2020-06-30,999300.0
2020-07-01,998140.0
2020-07-02,1005751.0000000001
2020-07-03,1003622.0000000001
2020-07-06,1010074.0000000001
2020-07-07,1002704.0000000001
2020-07-08,1004154.0000000001
2020-07-09,1003206.0000000001
2020-07-10,1001304.0000000001
2020-07-13,998303.0000000001
2020-07-14,1002413.0
2020-07-15,1002186.0
2020-07-16,995888.0
2020-07-17,996922.0000000001
2020-07-20,1004256.0
2020-07-21,1009534.0000000001
2020-07-22,1003470.0000000001
2020-07-23,1005904.0
2020-07-24,1006814.0000000001
2020-07-27,997046.0000000001
2020-07-28,991676.0000000001
2020-07-29,1000457.0000000001
2020-07-30,1010641.0000000001
2020-07-31,992765.0000000001
2020-08-03,995319.0000000001
2020-08-04,999621.0000000002
2020-08-05,1002250.0000000001
2020-08-06,998319.0000000001
2020-08-07,996336.0000000001
2020-08-10,997191.0000000001
2020-08-11,998966.0000000001
2020-08-12,1008255.0
2020-08-13,1012803.9999999999
2020-08-14,1008911.9999999999
2020-08-18,995704.9999999999
2020-08-19,1003407.0
2020-08-20,996380.0
2020-08-21,998911.0
2020-08-24,994235.0
2020-08-25,1000769.0000000001
2020-08-26,999283.0000000001
2020-08-27,998345.0000000001
2020-08-28,999264.0000000001
2020-08-31,997701.0000000001
2020-09-01,993995.0000000001
2020-09-02,994619.0000000001
2020-09-03,1002158.0000000001
2020-09-04,989518.0000000001
2020-09-07,991975.0000000001
2020-09-08,995825.0000000001
2020-09-09,987718.0000000001
2020-09-10,990007.0000000002
2020-09-11,988866.0000000002
2020-09-14,990030.0000000001
2020-09-15,987430.0000000001
2020-09-16,999095.0
2020-09-17,1007949.0000000001
2020-09-18,1010475.0
2020-09-21,1011006.6987813353
2020-09-22,972460.5694919175
2020-09-23,982695.465624926
2020-09-24,988440.6997181183
2020-09-25,974600.4892957965
2020-09-28,1041954.1624943773
2020-09-29,1053900.5909658119
2020-10-05,1089489.7034803536
2020-10-06,1080730.2894497053
2020-10-07,1089296.6937431714
2020-10-08,1080254.6221432274
2020-10-12,1119122.2101586836
2020-10-13,1100382.7804493543
2020-10-14,1064523.3198011988
2020-10-15,1048543.8620827931
2020-10-16,1022948.8879106287
2020-10-19,1000954.5204732121
2020-10-20,992676.6220238263
2020-10-21,989352.4159928479
2020-10-22,952796.9097768058
2020-10-23,953944.851071975
2020-10-26,905440.2263533181
2020-10-27,897720.5093738316
2020-10-28,937413.9369616206
2020-10-29,930690.204026617
2020-10-30,922875.6634480272
2020-11-02,938810.735651959
2020-11-03,958823.2226173355
2020-11-04,952675.1563549028
2020-11-05,973715.9077389251
2020-11-06,989453.0829629652
2020-11-09,1035820.4779089235
2020-11-10,1086465.6949392543
2020-11-11,1186956.5172315903
2020-11-12,1220033.8131315853
2020-11-13,1161471.1618300206
2020-11-16,1223508.6609086571
2020-11-17,1192397.1052936206
2020-11-18,1210400.811475155
2020-11-19,1212262.3130518792
2020-11-20,1216110.5471167834
2020-11-23,1155950.0172941578
2020-11-24,1196482.0621023858
2020-11-25,1199790.800454078
2020-11-26,1223913.6550628575
2020-11-27,1197024.775892999
2020-11-30,1212830.0540924843
2020-12-01,1216331.1296735632
2020-12-02,1245674.6622953885
2020-12-03,1218530.9026712023
2020-12-04,1207278.4166226296
2020-12-07,1176771.4455153516
2020-12-08,1181598.7064682876
2020-12-09,1213033.7383327475
2020-12-10,1198106.0828058147
2020-12-11,1198688.474556336
2020-12-14,1204047.689175164
2020-12-15,1200205.65214199
2020-12-16,1174503.0767226159
2020-12-17,1148541.585802144
2020-12-18,1146560.9838980718
2020-12-21,1161644.6612334584
2020-12-22,1123545.0771199602
2020-12-23,1060575.4822373714
